safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,hand_made_ping
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.998216153,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.099162341,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.198612929,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.29899621,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.400550366,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.501265526,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.601260901,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.701256514,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.801258803,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,351.901727438,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.001763821,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.101311207,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.201289654,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.299335003,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.39826417,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.49902916,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.598591566,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.69875741,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.800972939,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,352.901677609,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.001318455,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.101299286,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.201256514,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.301148892,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.401318312,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.501259566,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.601302624,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.699331046,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.798398257,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.898290873,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,353.998228312,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.099264861,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.200671673,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.30128479,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.401282788,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.50123334,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.602133751,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.70127821,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.801231146,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,354.901830435,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.001791716,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.099338293,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.198706389,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.298448325,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.398628235,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.500445605,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.60172081,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.701331139,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.800985337,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,355.902297259,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.002385378,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.102285862,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.202003718,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.301965952,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.401729346,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.499467373,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.600073815,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,356.698379517,0.0
