safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.698481798
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.797187329
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.896965742
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.996991635
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.097150326
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.196971178
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.297103405
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.397243738
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.497354269
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.597229481
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.697441101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.797367573
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.897500515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.997389078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.097876787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.199021101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.29790473
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.396936417
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.497692108
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.597305537
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.697693587
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.798995018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.899367094
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.000105381
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.097892046
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.197258234
