safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,republished time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.001819372,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.102220535,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.200323105,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.299624443,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.40006113,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.499687433,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.600163698,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.701185226,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.802214622,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.90765357,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.001217365,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.10202527,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.202358484,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.301904917,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.403818846,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.501775742,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.600647926,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.699634552,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.799725771,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.899580717,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.000917196,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.101902723,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.202251196,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.301908016,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.402347326,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.501772881,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.602199078,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.701853752,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.802203655,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.90203166,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.000742435,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.099903583,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.199697018,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.30011344,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.400907755,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.501660824,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.601576805,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.702027559,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.800228119,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.901067257,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.000973463,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.100400686,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.200291634,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.300293684,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.3997612,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.499460459,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.599538088,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.699463367,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.800295114,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.900465727,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.000509977,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.100493431,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.201414347,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.300930977,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.400631905,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.500515223,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.600507736,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.700797081,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.799768686,-0.141676426
